pr2_accession	domain	supergroup	division	subdivision	class	order	family	genus	species	pr2_annotated	gb_strain
AF265331.1.1123_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Amphifila	Amphifila_marina	1	 
AY082983.1.1879_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Amphifila	Amphifila_sp.	1	 
EF023442.1.1807_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Amphifilaceae_X	Amphifilaceae_X_sp.	1	 
EF023338.1.1806_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Amphifilaceae_X	Amphifilaceae_X_sp.	1	 
EF023208.1.1805_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Amphifilaceae_X	Amphifilaceae_X_sp.	1	 
EF023658.1.1802_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Amphifilaceae_X	Amphifilaceae_X_sp.	1	 
EF023821.1.1802_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Amphifilaceae_X	Amphifilaceae_X_sp.	1	 
EF023733.1.1802_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Amphifilaceae_X	Amphifilaceae_X_sp.	1	 
AB695490.1.1762_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Amphifilaceae_X	Amphifilaceae_X_sp.	1	 
AB695537.1.1762_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Amphifilaceae_X	Amphifilaceae_X_sp.	1	 
AY919801.1.1739_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Amphifilaceae_X	Amphifilaceae_X_sp.	1	 
AB622307.1.1692_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Amphifilaceae_X	Amphifilaceae_X_sp.	1	 
AB721069.1.1686_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Amphifilaceae_X	Amphifilaceae_X_sp.	1	 
AB771818.1.1676_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Amphifilaceae_X	Amphifilaceae_X_sp.	1	 
DQ104602.1.1279_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Amphifilaceae_X	Amphifilaceae_X_sp.	1	 
DQ104600.1.1261_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Amphifilaceae_X	Amphifilaceae_X_sp.	1	 
DQ104585.1.1242_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Amphifilaceae_X	Amphifilaceae_X_sp.	1	 
AY046668.1.1198_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Amphifilaceae_X	Amphifilaceae_X_sp.	1	 
FJ592426.1.1082_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Amphifilaceae_X	Amphifilaceae_X_sp.	1	 
KC911795.1.841_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Amphifilaceae_X	Amphifilaceae_X_sp.	1	 
FJ410599.1.800_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Amphifilaceae_X	Amphifilaceae_X_sp.	1	 
LN582041.1.761_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Amphifilaceae_X	Amphifilaceae_X_sp.	1	 
LN587488.1.756_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Amphifilaceae_X	Amphifilaceae_X_sp.	1	 
LN585946.1.753_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Amphifilaceae_X	Amphifilaceae_X_sp.	1	 
LN575027.1.752_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Amphifilaceae_X	Amphifilaceae_X_sp.	1	 
LN580137.1.752_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Amphifilaceae_X	Amphifilaceae_X_sp.	1	 
LN575091.1.751_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Amphifilaceae_X	Amphifilaceae_X_sp.	1	 
LN575550.1.751_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Amphifilaceae_X	Amphifilaceae_X_sp.	1	 
LN574846.1.751_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Amphifilaceae_X	Amphifilaceae_X_sp.	1	 
LN586976.1.748_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Amphifilaceae_X	Amphifilaceae_X_sp.	1	 
LN581452.1.748_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Amphifilaceae_X	Amphifilaceae_X_sp.	1	 
LN586965.1.747_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Amphifilaceae_X	Amphifilaceae_X_sp.	1	 
LN574985.1.746_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Amphifilaceae_X	Amphifilaceae_X_sp.	1	 
LN587661.1.746_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Amphifilaceae_X	Amphifilaceae_X_sp.	1	 
LN580601.1.746_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Amphifilaceae_X	Amphifilaceae_X_sp.	1	 
LN581594.1.746_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Amphifilaceae_X	Amphifilaceae_X_sp.	1	 
LN588268.1.746_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Amphifilaceae_X	Amphifilaceae_X_sp.	1	 
LN577564.1.743_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Amphifilaceae_X	Amphifilaceae_X_sp.	1	 
LN577577.1.742_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Amphifilaceae_X	Amphifilaceae_X_sp.	1	 
LN582061.1.740_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Amphifilaceae_X	Amphifilaceae_X_sp.	1	 
LN586640.1.739_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Amphifilaceae_X	Amphifilaceae_X_sp.	1	 
LN580310.1.739_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Amphifilaceae_X	Amphifilaceae_X_sp.	1	 
LN581766.1.739_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Amphifilaceae_X	Amphifilaceae_X_sp.	1	 
AB572139.1.676_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Amphifilaceae_X	Amphifilaceae_X_sp.	1	 
AB970424.1.558_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Amphifilaceae_X	Amphifilaceae_X_sp.	1	 
AB970256.1.556_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Amphifilaceae_X	Amphifilaceae_X_sp.	1	 
JQ692229.1.550_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Amphifilaceae_X	Amphifilaceae_X_sp.	1	 
GU918930.1.542_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Amphifilaceae_X	Amphifilaceae_X_sp.	1	 
GU922821.1.536_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Amphifilaceae_X	Amphifilaceae_X_sp.	1	 
GU920082.1.524_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Amphifilaceae_X	Amphifilaceae_X_sp.	1	 
AB970288.1.523_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Amphifilaceae_X	Amphifilaceae_X_sp.	1	 
AB627973.1.521_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Amphifilaceae_X	Amphifilaceae_X_sp.	1	 
AB970183.1.521_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Amphifilaceae_X	Amphifilaceae_X_sp.	1	 
AB970374.1.520_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Amphifilaceae_X	Amphifilaceae_X_sp.	1	 
KC454889.1.520_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Amphifilaceae_X	Amphifilaceae_X_sp.	1	 
AB273928.1.519_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Amphifilaceae_X	Amphifilaceae_X_sp.	1	 
AB769304.1.517_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Amphifilaceae_X	Amphifilaceae_X_sp.	1	 
JF260892.1.517_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Amphifilaceae_X	Amphifilaceae_X_sp.	1	 
GU918261.1.515_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Amphifilaceae_X	Amphifilaceae_X_sp.	1	 
GU922746.1.509_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Amphifilaceae_X	Amphifilaceae_X_sp.	1	 
GU919334.1.508_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Amphifilaceae_X	Amphifilaceae_X_sp.	1	 
AB856528.1.1762_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Fibrophrys	Fibrophrys_columna	1	 
AY919755.1.1748_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Fibrophrys	Fibrophrys_sp.	1	 
AY919687.1.1741_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Fibrophrys	Fibrophrys_sp.	1	 
AY919750.1.1738_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Fibrophrys	Fibrophrys_sp.	1	 
AY919780.1.1738_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Fibrophrys	Fibrophrys_sp.	1	 
AY919705.1.1738_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Fibrophrys	Fibrophrys_sp.	1	 
AY919734.1.1736_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Fibrophrys	Fibrophrys_sp.	1	 
AY919701.1.1735_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Fibrophrys	Fibrophrys_sp.	1	 
AB721042.1.1697_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Fibrophrys	Fibrophrys_sp.	1	 
AB721051.1.1697_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Fibrophrys	Fibrophrys_sp.	1	 
GQ330584.1.1488_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Fibrophrys	Fibrophrys_sp.	1	 
EU147289.1.800_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Fibrophrys	Fibrophrys_sp.	1	 
KU728175.1.1880_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Sorodiplophrys	Sorodiplophrys_stercorea	1	 
KU728176.1.1879_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Sorodiplophrys	Sorodiplophrys_stercorea	1	 
KU728177.1.1798_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Sorodiplophrys	Sorodiplophrys_stercorea	1	 
KU728174.1.1762_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Sorodiplophrys	Sorodiplophrys_stercorea	1	 
GU823043.1.1439_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphitraemidae	Amphitraemidae_LAB20	Amphitraemidae_LAB20_sp.	1	 
GU823679.1.1249_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphitraemidae	Amphitraemidae_LAB20	Amphitraemidae_LAB20_sp.	1	 
GU823173.1.1249_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphitraemidae	Amphitraemidae_LAB20	Amphitraemidae_LAB20_sp.	1	 
GU823563.1.1248_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphitraemidae	Amphitraemidae_LAB20	Amphitraemidae_LAB20_sp.	1	 
GU823482.1.1248_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphitraemidae	Amphitraemidae_LAB20	Amphitraemidae_LAB20_sp.	1	 
GU822986.1.1248_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphitraemidae	Amphitraemidae_LAB20	Amphitraemidae_LAB20_sp.	1	 
GU823684.1.1248_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphitraemidae	Amphitraemidae_LAB20	Amphitraemidae_LAB20_sp.	1	 
GU823062.1.1248_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphitraemidae	Amphitraemidae_LAB20	Amphitraemidae_LAB20_sp.	1	 
GU823258.1.1248_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphitraemidae	Amphitraemidae_LAB20	Amphitraemidae_LAB20_sp.	1	 
GU823611.1.1248_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphitraemidae	Amphitraemidae_LAB20	Amphitraemidae_LAB20_sp.	1	 
GU823065.1.1248_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphitraemidae	Amphitraemidae_LAB20	Amphitraemidae_LAB20_sp.	1	 
GU824170.1.1233_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphitraemidae	Amphitraemidae_LAB20	Amphitraemidae_LAB20_sp.	1	 
GU823039.1.1210_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphitraemidae	Amphitraemidae_LAB20	Amphitraemidae_LAB20_sp.	1	 
GU823147.1.1113_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphitraemidae	Amphitraemidae_LAB20	Amphitraemidae_LAB20_sp.	1	 
GQ330589.1.1574_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphitraemidae	Amphitrema	Amphitrema_sp.	1	 
GU949602.1.727_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphitraemidae	Amphitrema	Amphitrema_sp.	1	 
JQ244217.1.576_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphitraemidae	Amphitrema	Amphitrema_sp.	1	 
GU923337.1.533_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphitraemidae	Amphitrema	Amphitrema_sp.	1	 
KC245093.1.1351_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphitraemidae	Amphitrema	Amphitrema_wrightianum	1	 
KC245091.1.1351_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphitraemidae	Amphitrema	Amphitrema_wrightianum	1	 
KC245092.1.1351_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphitraemidae	Amphitrema	Amphitrema_wrightianum	1	 
KC245095.1.1278_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphitraemidae	Archerella	Archerella_flavum	1	 
KC245096.1.1278_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphitraemidae	Archerella	Archerella_flavum	1	 
KC245094.1.1278_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphitraemidae	Archerella	Archerella_flavum	1	 
KC245097.1.1278_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphitraemidae	Archerella	Archerella_flavum	1	 
EF586082.1.818_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphitraemidae	Archerella	Archerella_sp.	1	 
AF304465.1.2101_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Diplophrydaceae	Diplophrys	Diplophrys_sp.	1	ATCC50360
AB856527.1.2034_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Diplophrydaceae	Diplophrys	Diplophrys_sp.	1	 
GU923285.1.541_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Diplophrydaceae	Diplophrys	Diplophrys_sp.	1	 
KX160007.1.1736_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Aplanochytrium	Aplanochytrium_blankum	1	 
AB022103.1.1787_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Aplanochytrium	Aplanochytrium_kerguelense	1	KMPB N-BA-107
KJ762899.1.1781_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Aplanochytrium	Aplanochytrium_kerguelense	1	 
L27634.1.1802_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Aplanochytrium	Aplanochytrium_minutum	1	 
KT901795.1.1725_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Aplanochytrium	Aplanochytrium_minutum	1	 
AF265339.1.1126_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Aplanochytrium	Aplanochytrium_minutum	1	MMLM
KJ761355.1.1806_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Aplanochytrium	Aplanochytrium_sp.	1	 
FJ810216.1.1797_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Aplanochytrium	Aplanochytrium_sp.	1	S1a
DQ103805.1.1793_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Aplanochytrium	Aplanochytrium_sp.	1	 
DQ103777.1.1786_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Aplanochytrium	Aplanochytrium_sp.	1	 
JX188323.1.1767_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Aplanochytrium	Aplanochytrium_sp.	1	 
JX188378.1.1766_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Aplanochytrium	Aplanochytrium_sp.	1	 
JQ782096.1.1761_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Aplanochytrium	Aplanochytrium_sp.	1	 
EU851173.1.1731_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Aplanochytrium	Aplanochytrium_sp.	1	 
AY381216.1.1728_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Aplanochytrium	Aplanochytrium_sp.	1	 
FJ799799.1.1725_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Aplanochytrium	Aplanochytrium_sp.	1	PBS07
EU851169.1.1683_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Aplanochytrium	Aplanochytrium_sp.	1	 
EU851170.1.1682_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Aplanochytrium	Aplanochytrium_sp.	1	 
EU851171.1.1682_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Aplanochytrium	Aplanochytrium_sp.	1	 
EU851167.1.1682_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Aplanochytrium	Aplanochytrium_sp.	1	 
EU851168.1.1675_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Aplanochytrium	Aplanochytrium_sp.	1	 
DQ367045.1.1672_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Aplanochytrium	Aplanochytrium_sp.	1	Ts1
AB973544.1.1657_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Aplanochytrium	Aplanochytrium_sp.	1	SEK 717
DQ103792.1.1652_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Aplanochytrium	Aplanochytrium_sp.	1	 
EU851172.1.1644_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Aplanochytrium	Aplanochytrium_sp.	1	 
AB973543.1.1644_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Aplanochytrium	Aplanochytrium_sp.	1	SEK 603
DQ103785.1.1574_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Aplanochytrium	Aplanochytrium_sp.	1	 
EF100211.1.1573_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Aplanochytrium	Aplanochytrium_sp.	1	 
DQ103811.1.1420_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Aplanochytrium	Aplanochytrium_sp.	1	 
FJ800625.1.1389_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Aplanochytrium	Aplanochytrium_sp.	1	 
FJ800598.1.1387_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Aplanochytrium	Aplanochytrium_sp.	1	 
FJ800608.1.1387_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Aplanochytrium	Aplanochytrium_sp.	1	 
FJ800644.1.1387_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Aplanochytrium	Aplanochytrium_sp.	1	 
FJ800634.1.1387_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Aplanochytrium	Aplanochytrium_sp.	1	 
FJ800649.1.1387_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Aplanochytrium	Aplanochytrium_sp.	1	 
FJ800642.1.1387_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Aplanochytrium	Aplanochytrium_sp.	1	 
FJ800603.1.1387_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Aplanochytrium	Aplanochytrium_sp.	1	 
FJ800628.1.1387_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Aplanochytrium	Aplanochytrium_sp.	1	 
FJ800650.1.1387_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Aplanochytrium	Aplanochytrium_sp.	1	 
FJ800596.1.1387_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Aplanochytrium	Aplanochytrium_sp.	1	 
FJ800635.1.1387_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Aplanochytrium	Aplanochytrium_sp.	1	 
FJ800592.1.1387_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Aplanochytrium	Aplanochytrium_sp.	1	 
FJ800610.1.1387_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Labyrinthulaceae	Aplanochytrium	Aplanochytrium_sp.	1	 
